JD,UT Date,Camera,FWHM,Limit,Mag,Mag Error,flux(mJy),flux_err,Filter
2456825.873,2014-06-17.3697761,bd,1.56,15.715,14.8,0.094,4.61,0.397,V
2456825.874,2014-06-17.3711861,bd,1.54,15.884,14.893,0.088,4.233,0.34,V
2456825.952,2014-06-17.4489490,bc,1.57,15.932,14.797,0.077,4.627,0.326,V
2456825.953,2014-06-17.4503760,bc,1.71,15.991,15.041,0.091,3.693,0.308,V
2456826.874,2014-06-18.3710978,bd,1.5,16.679,14.965,0.045,3.964,0.164,V
2456826.876,2014-06-18.3725304,bd,1.59,16.75,15.001,0.044,3.831,0.153,V
2456827.884,2014-06-19.3810844,bc,1.55,16.786,14.882,0.038,4.277,0.148,V
2456827.886,2014-06-19.3825013,bc,1.65,16.686,14.876,0.041,4.303,0.163,V
2456829.922,2014-06-21.4192284,bd,1.59,16.66,14.998,0.047,3.845,0.166,V
2456829.924,2014-06-21.4206453,bd,1.61,16.71,14.922,0.042,4.123,0.159,V
2456830.958,2014-06-22.4549680,bc,1.76,16.629,14.89,0.044,4.245,0.171,V
2456832.846,2014-06-24.3436226,bc,1.46,16.774,14.924,0.04,4.112,0.15,V
2456832.848,2014-06-24.3450531,bc,1.45,16.785,14.953,0.04,4.006,0.148,V
2456832.858,2014-06-24.3551612,bd,1.49,16.719,14.85,0.039,4.406,0.158,V
2456832.859,2014-06-24.3565670,bd,1.49,16.692,14.972,0.045,3.937,0.162,V
2456834.87,2014-06-26.3669135,bd,1.75,16.685,14.914,0.043,4.155,0.163,V
2456835.843,2014-06-27.3405996,bc,1.45,16.811,14.902,0.038,4.202,0.145,V
2456835.845,2014-06-27.3420173,bc,1.41,16.817,14.969,0.04,3.949,0.144,V
2456835.855,2014-06-27.3520820,bd,1.69,16.7,14.94,0.043,4.054,0.16,V
2456835.856,2014-06-27.3535225,bd,1.67,16.646,14.884,0.043,4.267,0.169,V
2456846.841,2014-07-08.3395175,bd,1.53,16.232,14.998,0.07,3.842,0.247,V
2456846.843,2014-07-08.3409312,bd,1.59,16.28,14.989,0.067,3.877,0.236,V
2456847.836,2014-07-09.3340803,bc,1.37,16.364,15.038,0.065,3.705,0.219,V
2456847.837,2014-07-09.3354722,bc,1.45,16.092,15.064,0.085,3.618,0.281,V
2456848.851,2014-07-10.3491106,bc,1.47,15.878,14.791,0.08,4.65,0.342,V
2456848.852,2014-07-10.3505221,bc,1.47,16.096,14.987,0.079,3.884,0.28,V
2456850.828,2014-07-12.3267523,bc,1.5,16.044,15.028,0.086,3.739,0.294,V
2456850.83,2014-07-12.3281645,bc,1.45,15.975,14.918,0.083,4.138,0.313,V
2456850.837,2014-07-12.3356070,bd,1.57,15.925,15.179,0.11,3.255,0.328,V
2456850.839,2014-07-12.3370171,bd,1.63,15.892,14.996,0.096,3.85,0.338,V
2456855.826,2014-07-17.3241934,bd,1.47,16.707,14.994,0.045,3.858,0.16,V
2456855.827,2014-07-17.3256453,bd,1.47,16.596,14.966,0.049,3.957,0.177,V
2456855.84,2014-07-17.3387212,bc,1.38,16.796,14.94,0.04,4.054,0.147,V
2456855.842,2014-07-17.3401258,bc,1.39,16.741,14.921,0.041,4.129,0.155,V
2456857.822,2014-07-19.3210188,bc,1.37,16.774,14.914,0.039,4.154,0.15,V
2456857.824,2014-07-19.3225181,bc,1.36,16.797,14.958,0.04,3.985,0.147,V
2456857.834,2014-07-19.3331059,bd,1.48,16.754,15.001,0.043,3.835,0.153,V
2456857.836,2014-07-19.3346040,bd,1.52,16.715,14.919,0.042,4.134,0.158,V
2456862.793,2014-07-24.2921953,bc,1.48,16.774,14.985,0.042,3.89,0.15,V
2456862.795,2014-07-24.2936133,bc,1.51,16.817,15.035,0.042,3.717,0.144,V
2456862.825,2014-07-24.3236722,bc,1.48,16.815,15.102,0.045,3.494,0.144,V
2456862.826,2014-07-24.3250743,bc,1.49,16.729,14.966,0.043,3.958,0.156,V
2456863.802,2014-07-25.3011075,bc,1.46,16.79,14.967,0.041,3.954,0.148,V
2456863.803,2014-07-25.3025244,bc,1.48,16.799,14.984,0.041,3.895,0.146,V
2456864.802,2014-07-26.3015361,bc,1.36,16.779,14.882,0.038,4.277,0.149,V
2456864.804,2014-07-26.3030112,bc,1.35,16.769,14.913,0.039,4.159,0.151,V
2456866.799,2014-07-28.2978417,bc,1.56,16.752,14.918,0.04,4.135,0.153,V
2456866.8,2014-07-28.2993819,bc,1.55,16.736,14.941,0.042,4.053,0.155,V
2456868.789,2014-07-30.2881379,bc,1.45,16.736,14.952,0.042,4.008,0.155,V
2456868.79,2014-07-30.2895321,bc,1.45,16.723,14.859,0.039,4.369,0.157,V
2456875.776,2014-08-06.2758721,bc,2.02,16.482,15.008,0.056,3.808,0.196,V
2456875.778,2014-08-06.2774168,bc,1.84,16.423,15.099,0.065,3.501,0.207,V
2456876.788,2014-08-07.2877417,bc,1.48,16.384,14.887,0.055,4.257,0.215,V
2456876.789,2014-08-07.2891432,bc,1.52,16.462,14.882,0.051,4.276,0.2,V
2456881.764,2014-08-12.2645515,bc,1.34,16.439,14.869,0.051,4.33,0.204,V
2456881.766,2014-08-12.2659104,bc,1.36,16.473,15.08,0.061,3.563,0.198,V
2456882.764,2014-08-13.2642946,bc,1.44,16.792,14.966,0.041,3.957,0.148,V
2456882.765,2014-08-13.2656627,bc,1.46,16.692,14.901,0.042,4.201,0.162,V
2456882.775,2014-08-13.2753989,bd,1.9,16.621,14.984,0.048,3.893,0.173,V
2456882.776,2014-08-13.2767760,bd,1.88,16.543,15.096,0.058,3.509,0.185,V
2456883.761,2014-08-14.2617070,bc,1.37,16.758,14.94,0.041,4.052,0.152,V
2456883.763,2014-08-14.2630909,bc,1.4,16.815,15.015,0.042,3.785,0.144,V
2456884.763,2014-08-15.2637334,bc,1.64,16.753,15.003,0.044,3.826,0.153,V
2456884.765,2014-08-15.2652091,bc,1.59,16.759,14.972,0.042,3.938,0.152,V
2456884.775,2014-08-15.2757925,bd,1.68,16.547,14.968,0.051,3.952,0.185,V
2456884.777,2014-08-15.2772626,bd,1.66,16.637,15.086,0.052,3.543,0.17,V
2456886.76,2014-08-17.2609631,bc,1.58,16.686,14.974,0.045,3.929,0.163,V
2456886.762,2014-08-17.2624429,bc,1.57,16.713,14.909,0.041,4.174,0.159,V
2456886.78,2014-08-17.2804638,bd,2.12,16.46,14.913,0.053,4.158,0.2,V
2456886.783,2014-08-17.2832172,bd,2.27,16.381,14.923,0.057,4.118,0.215,V
2456888.747,2014-08-19.2476071,bc,1.42,16.695,14.925,0.043,4.111,0.162,V
2456888.748,2014-08-19.2490006,bc,1.38,16.679,14.959,0.045,3.983,0.164,V
2456888.761,2014-08-19.2618532,bd,1.48,16.583,14.922,0.047,4.122,0.179,V
2456888.762,2014-08-19.2632347,bd,1.5,16.614,14.922,0.046,4.121,0.174,V
2456889.738,2014-08-20.2383763,bc,1.37,16.367,15.037,0.064,3.706,0.218,V
2456889.739,2014-08-20.2397701,bc,1.35,16.424,15.005,0.059,3.818,0.207,V
2456889.757,2014-08-20.2582598,bd,1.45,16.554,14.962,0.05,3.972,0.184,V
2456889.759,2014-08-20.2596634,bd,1.46,16.613,14.903,0.045,4.196,0.174,V
2456890.745,2014-08-21.2462318,bc,1.34,16.705,14.945,0.043,4.035,0.16,V
2456890.747,2014-08-21.2476269,bc,1.36,16.726,14.952,0.043,4.008,0.157,V
2456890.762,2014-08-21.2632644,bd,1.46,16.567,14.918,0.048,4.139,0.181,V
2456890.764,2014-08-21.2646549,bd,1.46,16.581,14.969,0.05,3.946,0.179,V
2456891.739,2014-08-22.2402002,bc,1.35,16.605,14.919,0.046,4.133,0.175,V
2456891.741,2014-08-22.2416289,bc,1.34,16.675,15.028,0.048,3.736,0.164,V
2456892.742,2014-08-23.2429989,bc,1.39,16.582,14.971,0.05,3.938,0.179,V
2456892.743,2014-08-23.2444637,bc,1.42,16.821,14.95,0.039,4.016,0.144,V
2456892.76,2014-08-23.2609445,bd,1.56,16.572,14.875,0.046,4.305,0.181,V
2456892.761,2014-08-23.2624484,bd,1.53,16.541,15.07,0.056,3.598,0.186,V
2456894.731,2014-08-25.2324344,bc,1.51,16.138,14.91,0.071,4.167,0.269,V
2456894.733,2014-08-25.2338268,bc,1.44,16.268,15.065,0.072,3.611,0.239,V
2456895.731,2014-08-26.2318263,bc,1.42,16.159,15.009,0.076,3.807,0.264,V
2456895.732,2014-08-26.2332555,bc,1.55,16.313,14.97,0.064,3.946,0.229,V
2456896.733,2014-08-27.2341439,bc,1.44,16.418,14.844,0.051,4.429,0.208,V
2456896.734,2014-08-27.2355565,bc,1.41,16.481,15.049,0.058,3.668,0.196,V
2456896.753,2014-08-27.2540828,bd,1.41,16.473,14.948,0.054,4.026,0.198,V
2456896.754,2014-08-27.2554731,bd,1.44,16.696,14.851,0.04,4.4,0.161,V
2456898.735,2014-08-29.2359678,bd,1.49,16.431,15.07,0.063,3.594,0.206,V
2456898.739,2014-08-29.2402348,bd,1.49,16.499,14.871,0.049,4.321,0.193,V
2456898.742,2014-08-29.2428815,bd,1.55,16.606,15.038,0.052,3.705,0.175,V
2456899.773,2014-08-30.2739550,bd,1.62,16.568,14.798,0.043,4.622,0.181,V
2456899.774,2014-08-30.2754385,bd,1.55,16.615,14.918,0.046,4.136,0.174,V
2456902.726,2014-09-02.2274922,bc,1.49,16.167,14.965,0.072,3.965,0.262,V
2456902.727,2014-09-02.2288847,bc,1.43,16.235,14.879,0.063,4.286,0.247,V
2456904.73,2014-09-04.2320216,bd,1.49,16.1,15.078,0.085,3.571,0.279,V
2456904.732,2014-09-04.2334531,bd,1.48,16.234,15.11,0.078,3.466,0.246,V
2456905.731,2014-09-05.2322802,bd,1.76,16.074,14.931,0.076,4.085,0.285,V
2456905.733,2014-09-05.2344637,bd,1.66,16.166,14.84,0.065,4.445,0.262,V
2456906.726,2014-09-06.2277766,bd,1.47,16.018,14.986,0.085,3.888,0.301,V
2456906.727,2014-09-06.2292965,bd,1.46,16.034,14.923,0.079,4.121,0.296,V
2456909.729,2014-09-09.2314717,bd,1.47,16.038,15.054,0.088,3.652,0.295,V
2456909.731,2014-09-09.2328753,bd,1.53,16.079,15.017,0.083,3.774,0.284,V
2456999.158,2014-12-07.6603710,bc,2.03,15.395,14.929,0.143,4.096,0.534,V
2456999.159,2014-12-07.6618189,bc,2.04,15.421,14.632,0.106,5.382,0.522,V
2457005.146,2014-12-13.6488126,bc,1.81,16.226,14.884,0.064,4.268,0.248,V
2457005.149,2014-12-13.6509337,bc,1.85,16.155,15,0.075,3.837,0.265,V
2457009.165,2014-12-17.6667942,bd,1.54,15.993,14.772,0.071,4.73,0.308,V
2457009.166,2014-12-17.6682009,bd,1.62,15.718,15.023,0.115,3.756,0.396,V
2457018.114,2014-12-26.6154888,bc,1.62,16.563,14.89,0.047,4.243,0.182,V
2457018.115,2014-12-26.6169031,bc,1.61,16.585,14.892,0.046,4.24,0.178,V
2457022.137,2014-12-30.6381451,bc,1.66,16.667,14.859,0.041,4.367,0.166,V
2457022.139,2014-12-30.6400611,bc,1.66,16.682,14.981,0.046,3.904,0.163,V
2457024.145,2015-01-01.6462376,bd,1.76,16.553,14.865,0.046,4.345,0.184,V
2457024.147,2015-01-01.6482241,bd,1.79,16.565,14.855,0.045,4.384,0.182,V
2457030.113,2015-01-07.6144349,bc,2.19,15.888,14.89,0.087,4.246,0.339,V
2457031.097,2015-01-08.5984200,bc,1.54,16.047,15.016,0.085,3.78,0.293,V
2457031.099,2015-01-08.5998151,bc,1.52,16.174,15.012,0.075,3.796,0.261,V
2457032.124,2015-01-09.6250817,bd,1.72,16.186,14.826,0.063,4.503,0.258,V
2457032.126,2015-01-09.6264603,bd,1.64,16.224,14.796,0.059,4.629,0.249,V
2457037.103,2015-01-14.6038224,bc,1.36,16.613,14.945,0.047,4.037,0.174,V
2457037.105,2015-01-14.6052156,bc,1.38,16.615,14.935,0.047,4.071,0.174,V
2457037.129,2015-01-14.6293329,bd,1.44,16.411,14.899,0.054,4.209,0.209,V
2457037.13,2015-01-14.6307333,bd,1.45,16.479,14.868,0.05,4.334,0.197,V
2457039.13,2015-01-16.6303771,bc,1.55,16.738,14.9,0.04,4.208,0.155,V
2457039.131,2015-01-16.6317701,bc,1.55,16.687,14.94,0.044,4.054,0.162,V
2457039.133,2015-01-16.6331959,bd,1.61,16.555,14.898,0.048,4.213,0.184,V
2457039.134,2015-01-16.6346062,bd,1.61,16.545,14.811,0.044,4.568,0.185,V
2457041.094,2015-01-18.5946149,bc,1.53,16.707,14.886,0.041,4.263,0.16,V
2457041.096,2015-01-18.5960082,bc,1.5,16.617,14.891,0.045,4.242,0.173,V
2457041.114,2015-01-18.6145392,bd,1.58,16.651,14.883,0.043,4.273,0.168,V
2457041.116,2015-01-18.6159439,bd,1.52,16.579,14.981,0.05,3.905,0.179,V
2457043.099,2015-01-20.5987381,bc,1.61,16.812,14.944,0.039,4.039,0.145,V
2457043.1,2015-01-20.6001988,bc,1.57,16.693,14.973,0.045,3.935,0.162,V
2457043.113,2015-01-20.6129555,bd,1.65,16.575,14.929,0.048,4.095,0.18,V
2457043.114,2015-01-20.6143497,bd,1.6,16.625,14.922,0.046,4.121,0.172,V
2457045.096,2015-01-22.5958696,bc,1.37,16.615,14.872,0.044,4.313,0.174,V
2457045.097,2015-01-22.5972629,bc,1.4,16.703,14.963,0.044,3.971,0.16,V
2457045.124,2015-01-22.6243373,bd,1.44,16.638,14.939,0.046,4.058,0.17,V
2457045.126,2015-01-22.6257668,bd,1.44,16.607,14.853,0.043,4.393,0.175,V
2457047.089,2015-01-24.5889043,bc,1.4,16.677,14.892,0.042,4.238,0.164,V
2457047.093,2015-01-24.5932296,bc,1.43,16.69,14.918,0.043,4.136,0.162,V
2457047.106,2015-01-24.6064046,bd,1.51,16.697,15.066,0.049,3.613,0.161,V
2457047.108,2015-01-24.6077961,bd,1.46,16.571,14.853,0.045,4.39,0.181,V
2457049.104,2015-01-26.6036944,bd,1.58,16.5,14.81,0.046,4.566,0.193,V
2457049.105,2015-01-26.6052450,bd,1.6,16.561,14.954,0.05,4.002,0.182,V
2457050.091,2015-01-27.5907188,bc,1.39,16.685,14.913,0.043,4.157,0.163,V
2457050.092,2015-01-27.5921563,bc,1.39,16.696,14.931,0.043,4.087,0.161,V
2457051.099,2015-01-28.5983042,bd,1.42,16.579,14.997,0.051,3.848,0.179,V
2457051.1,2015-01-28.5997524,bd,1.45,16.646,15.023,0.049,3.758,0.169,V
2457053.067,2015-01-30.5662547,bc,1.74,16.566,14.98,0.051,3.905,0.181,V
2457053.068,2015-01-30.5676582,bc,1.68,16.552,14.919,0.049,4.134,0.184,V
2457053.096,2015-01-30.5951354,bd,1.85,16.592,14.993,0.05,3.86,0.177,V
2457053.097,2015-01-30.5965271,bd,1.82,16.721,15.069,0.048,3.601,0.158,V
2457055.079,2015-02-01.5784074,bc,1.79,16.407,14.993,0.059,3.861,0.21,V
2457055.08,2015-02-01.5797961,bc,1.62,16.154,15.003,0.076,3.828,0.265,V
2457055.088,2015-02-01.5869309,bd,1.74,16.237,14.898,0.064,4.212,0.246,V
2457055.089,2015-02-01.5883225,bd,1.67,16.207,15.043,0.075,3.687,0.253,V
2457061.028,2015-02-07.5273204,bc,1.59,16.077,15.036,0.084,3.71,0.285,V
2457061.03,2015-02-07.5287459,bc,1.57,16.244,15.009,0.07,3.805,0.244,V
2457061.055,2015-02-07.5535995,bd,2.3,15.984,14.943,0.084,4.041,0.31,V
2457061.056,2015-02-07.5550295,bd,2.33,16.009,14.863,0.076,4.354,0.304,V
2457069.004,2015-02-15.5024918,bc,1.62,16.607,14.965,0.048,3.961,0.175,V
2457069.005,2015-02-15.5039075,bc,1.53,16.636,14.909,0.044,4.171,0.17,V
2457069.067,2015-02-15.5656998,bd,1.95,16.423,14.856,0.052,4.382,0.207,V
2457069.069,2015-02-15.5671619,bd,1.9,16.505,14.901,0.05,4.205,0.192,V
2457070.026,2015-02-16.5244962,bc,1.46,16.767,14.953,0.041,4.005,0.151,V
2457070.028,2015-02-16.5258947,bc,1.47,16.659,14.976,0.046,3.921,0.167,V
2457071.061,2015-02-17.5589708,bd,1.46,16.534,14.905,0.049,4.187,0.187,V
2457071.062,2015-02-17.5603837,bd,1.47,16.595,14.868,0.045,4.33,0.177,V
2457072.05,2015-02-18.5481027,bc,1.36,16.72,14.911,0.041,4.163,0.158,V
2457072.051,2015-02-18.5495100,bc,1.36,16.723,14.91,0.041,4.166,0.157,V
2457074.059,2015-02-20.5572075,bd,1.6,16.613,14.986,0.049,3.887,0.174,V
2457074.06,2015-02-20.5585815,bd,1.5,16.629,14.908,0.045,4.176,0.171,V
2457077.037,2015-02-23.5351347,bc,1.49,16.715,14.941,0.043,4.052,0.158,V
2457077.039,2015-02-23.5365348,bc,1.46,16.753,14.877,0.039,4.296,0.153,V
2457078.05,2015-02-24.5480680,bd,1.57,16.595,14.911,0.046,4.161,0.177,V
2457078.052,2015-02-24.5494821,bd,1.51,16.529,14.935,0.05,4.071,0.188,V
2457079.034,2015-02-25.5315079,bc,1.48,16.732,14.924,0.041,4.114,0.156,V
2457079.035,2015-02-25.5329597,bc,1.5,16.686,14.923,0.043,4.118,0.163,V
2457081.046,2015-02-27.5432181,bd,1.5,16.559,15.034,0.054,3.719,0.183,V
2457081.047,2015-02-27.5446236,bd,1.56,16.623,14.926,0.046,4.105,0.172,V
2457083.983,2015-03-02.4807667,bc,1.42,16.113,14.945,0.075,4.036,0.276,V
2457083.985,2015-03-02.4821660,bc,1.4,16.358,14.941,0.059,4.05,0.22,V
2457084.045,2015-03-02.5426055,bd,1.62,16.236,15.027,0.072,3.74,0.246,V
2457084.046,2015-03-02.5440106,bd,1.71,16.404,14.928,0.056,4.1,0.211,V
2457085.046,2015-03-03.5430736,bd,1.68,16.181,14.879,0.066,4.288,0.259,V
2457085.047,2015-03-03.5444790,bd,1.73,16.097,14.855,0.07,4.381,0.28,V
2457092.149,2015-03-10.6459596,bc,1.49,16.496,14.988,0.055,3.879,0.194,V
2457092.15,2015-03-10.6475495,bc,1.47,16.339,14.902,0.058,4.198,0.224,V
2457095.135,2015-03-13.6317502,bd,1.61,16.5,14.945,0.052,4.036,0.193,V
2457096.937,2015-03-15.4334771,bc,1.41,16.735,14.936,0.042,4.07,0.155,V
2457096.938,2015-03-15.4350880,bc,1.42,16.652,14.989,0.047,3.874,0.168,V
2457097.137,2015-03-15.6336177,bd,1.48,16.529,14.951,0.051,4.012,0.188,V
2457097.138,2015-03-15.6351972,bd,1.44,16.498,14.931,0.052,4.087,0.193,V
2457100.075,2015-03-18.5719809,bd,1.54,16.6,14.903,0.046,4.193,0.176,V
2457100.076,2015-03-18.5735828,bd,1.51,16.687,14.928,0.043,4.1,0.162,V
2457101.152,2015-03-19.6493480,bc,1.41,16.63,14.893,0.044,4.233,0.171,V
2457101.154,2015-03-19.6509826,bc,1.44,16.509,14.965,0.053,3.961,0.191,V
2457101.95,2015-03-20.4467894,bd,1.46,16.521,14.865,0.048,4.345,0.189,V
2457101.951,2015-03-20.4483982,bd,1.46,16.58,14.916,0.047,4.146,0.179,V
2457101.96,2015-03-20.4565966,bc,1.38,16.612,14.936,0.047,4.069,0.174,V
2457101.961,2015-03-20.4582179,bc,1.41,16.66,14.935,0.045,4.072,0.167,V
2457104.967,2015-03-23.4641365,bc,1.52,16.675,14.898,0.042,4.217,0.164,V
2457104.969,2015-03-23.4657987,bc,1.57,16.441,14.839,0.05,4.451,0.204,V
2457105.009,2015-03-23.5061986,bd,1.53,16.335,14.898,0.058,4.216,0.225,V
2457105.011,2015-03-23.5078409,bd,1.57,16.464,15.049,0.059,3.669,0.199,V
2457108.982,2015-03-27.4784459,bd,1.5,16.55,15.014,0.053,3.784,0.184,V
2457108.983,2015-03-27.4800589,bd,1.53,16.596,14.88,0.045,4.282,0.177,V
2457109.023,2015-03-27.5196173,bc,1.51,16.677,14.955,0.045,3.999,0.164,V
2457109.025,2015-03-27.5213925,bc,1.56,16.728,14.961,0.043,3.978,0.156,V
2457110.892,2015-03-29.3884045,bc,1.41,16.387,14.97,0.059,3.941,0.214,V
2457110.893,2015-03-29.3899491,bc,1.47,16.32,14.965,0.063,3.963,0.228,V
2457110.914,2015-03-29.4102722,bd,1.48,16.32,14.981,0.064,3.905,0.228,V
2457110.915,2015-03-29.4118534,bd,1.54,16.309,14.985,0.065,3.89,0.23,V
2457114.911,2015-04-02.4079218,bd,1.51,15.86,15.085,0.107,3.549,0.348,V
2457114.913,2015-04-02.4094501,bd,1.52,15.828,15.005,0.103,3.821,0.358,V
2457117.028,2015-04-04.5240643,bd,1.48,16.267,14.967,0.066,3.955,0.239,V
2457117.029,2015-04-04.5256425,bd,1.43,16.158,14.819,0.064,4.533,0.264,V
2457119.047,2015-04-06.5433962,bd,1.5,15.999,15.039,0.091,3.699,0.306,V
2457119.049,2015-04-06.5449913,bd,1.53,15.99,15.02,0.09,3.767,0.308,V
2457121.102,2015-04-08.5980177,bc,1.45,16.377,15.137,0.07,3.381,0.216,V
2457122.083,2015-04-09.5794849,bd,1.53,16.37,14.947,0.059,4.031,0.218,V
2457122.085,2015-04-09.5810274,bd,1.55,16.222,14.919,0.066,4.134,0.249,V
2457122.927,2015-04-10.4231877,bd,1.45,16.431,14.945,0.056,4.038,0.206,V
2457122.929,2015-04-10.4248556,bd,1.45,16.268,15.015,0.069,3.781,0.239,V
2457123.074,2015-04-10.5700413,bc,1.38,16.517,14.927,0.051,4.104,0.19,V
2457123.075,2015-04-10.5716039,bc,1.39,16.494,14.947,0.053,4.028,0.194,V
2457124.921,2015-04-12.4168702,bd,1.51,16.579,14.837,0.044,4.457,0.18,V
2457124.949,2015-04-12.4454427,bc,1.39,16.744,15.01,0.044,3.801,0.154,V
2457124.951,2015-04-12.4470290,bc,1.42,16.795,14.984,0.041,3.895,0.147,V
2457125.946,2015-04-13.4421293,bd,1.44,16.456,14.866,0.051,4.338,0.201,V
2457125.947,2015-04-13.4437405,bd,1.45,16.465,14.908,0.052,4.175,0.199,V
2457128.973,2015-04-16.4690202,bd,1.51,16.111,14.954,0.075,4.001,0.276,V
2457128.974,2015-04-16.4705599,bd,1.53,16.306,14.946,0.062,4.032,0.231,V
2457130.925,2015-04-18.4215400,bc,1.41,16.771,14.989,0.042,3.875,0.15,V
2457130.927,2015-04-18.4230987,bc,1.39,16.711,14.998,0.045,3.842,0.159,V
2457130.97,2015-04-18.4661781,bd,1.5,16.572,14.912,0.047,4.161,0.181,V
2457130.972,2015-04-18.4677946,bd,1.5,16.584,14.983,0.05,3.9,0.178,V
2457133.92,2015-04-21.4164156,bc,1.58,16.582,14.904,0.047,4.19,0.179,V
2457133.922,2015-04-21.4179136,bc,1.56,16.648,14.987,0.047,3.885,0.168,V
2457133.972,2015-04-21.4679086,bd,1.62,16.455,14.988,0.057,3.878,0.201,V
2457133.973,2015-04-21.4694799,bd,1.64,16.553,14.943,0.05,4.042,0.184,V
2457136.856,2015-04-24.3521125,bc,1.47,16.621,14.945,0.047,4.036,0.173,V
2457136.858,2015-04-24.3536924,bc,1.42,16.53,15.074,0.057,3.583,0.188,V
2457136.885,2015-04-24.3815289,bd,1.49,16.52,14.918,0.05,4.137,0.189,V
2457136.887,2015-04-24.3830442,bd,1.49,16.473,14.966,0.055,3.959,0.198,V
2457137.963,2015-04-25.4588148,bc,1.57,16.699,14.948,0.043,4.027,0.161,V
2457137.964,2015-04-25.4604059,bc,1.62,16.724,14.883,0.04,4.271,0.157,V
2457138.958,2015-04-26.4543634,bd,1.46,16.481,15.002,0.056,3.83,0.196,V
2457138.96,2015-04-26.4559510,bd,1.47,16.579,14.95,0.049,4.018,0.179,V
2457145.804,2015-05-03.3004487,bc,1.42,15.668,15.085,0.128,3.546,0.415,V
2457145.806,2015-05-03.3020956,bc,1.44,15.837,15.027,0.104,3.741,0.355,V
2457148.873,2015-05-06.3691769,bd,1.56,16.089,15.068,0.085,3.605,0.281,V
2457148.875,2015-05-06.3707910,bd,1.56,16.033,14.99,0.084,3.874,0.297,V
2457149.001,2015-05-06.4973761,bc,1.53,16.248,14.999,0.069,3.839,0.243,V
2457149.003,2015-05-06.4989791,bc,1.54,16.215,14.954,0.069,4.003,0.251,V
2457149.968,2015-05-07.4639950,bd,1.49,16.245,14.882,0.062,4.277,0.244,V
2457149.97,2015-05-07.4655967,bd,1.5,16.161,15.009,0.076,3.804,0.263,V
2457151.01,2015-05-08.5060244,bc,1.81,16.298,14.981,0.065,3.904,0.232,V
2457151.922,2015-05-09.4181584,bc,1.62,16.392,14.925,0.057,4.111,0.213,V
2457151.924,2015-05-09.4197103,bc,1.55,16.438,14.908,0.053,4.173,0.204,V
2457153.822,2015-05-11.3184245,bd,1.49,16.415,14.949,0.057,4.02,0.209,V
2457153.824,2015-05-11.3200115,bd,1.5,16.433,14.895,0.053,4.223,0.205,V
2457153.845,2015-05-11.3411979,bc,1.4,16.457,14.897,0.052,4.217,0.201,V
2457153.847,2015-05-11.3428106,bc,1.39,16.62,14.974,0.048,3.931,0.173,V
2457156.92,2015-05-14.4166528,bc,1.38,16.694,14.89,0.041,4.244,0.161,V
2457156.922,2015-05-14.4181884,bc,1.41,16.723,14.968,0.043,3.951,0.157,V
2457156.972,2015-05-14.4680349,bd,1.57,16.534,14.955,0.051,3.997,0.187,V
2457156.973,2015-05-14.4696454,bd,1.61,16.579,14.982,0.05,3.9,0.179,V
2457161.742,2015-05-19.2384862,bc,2.04,15.274,14.878,0.152,4.294,0.596,V
2457161.744,2015-05-19.2400626,bc,1.83,15.628,14.979,0.12,3.914,0.43,V
2457161.858,2015-05-19.3547071,bd,1.5,16.108,15.074,0.084,3.585,0.277,V
2457161.86,2015-05-19.3563233,bd,1.48,16.318,14.897,0.059,4.219,0.228,V
2457161.896,2015-05-19.3927456,bc,1.49,16.385,15.031,0.063,3.729,0.214,V
2457161.898,2015-05-19.3942878,bc,1.48,16.368,15.032,0.064,3.727,0.218,V
2457162.943,2015-05-20.4396896,bd,1.5,16.477,14.954,0.054,4.004,0.197,V
2457162.945,2015-05-20.4412793,bd,1.46,16.594,15.03,0.052,3.733,0.177,V
2457162.971,2015-05-20.4669416,bc,1.61,16.579,14.915,0.047,4.151,0.179,V
2457162.972,2015-05-20.4686024,bc,1.63,16.709,15.011,0.046,3.797,0.159,V
2457162.99,2015-05-20.4863468,bc,1.57,16.696,14.955,0.044,3.997,0.161,V
2457162.992,2015-05-20.4880038,bc,1.62,16.636,14.947,0.046,4.027,0.17,V
2457164.856,2015-05-22.3522238,bd,1.45,16.613,14.902,0.045,4.198,0.174,V
2457164.857,2015-05-22.3538244,bd,1.46,16.523,14.908,0.049,4.174,0.189,V
2457164.878,2015-05-22.3745947,bc,1.43,16.758,14.991,0.043,3.869,0.152,V
2457164.88,2015-05-22.3761517,bc,1.38,16.744,15.041,0.045,3.693,0.154,V
2457166.747,2015-05-24.2432635,bd,1.76,15.819,14.949,0.098,4.02,0.361,V
2457166.748,2015-05-24.2448641,bd,1.71,16.026,14.925,0.079,4.113,0.298,V
2457166.761,2015-05-24.2578283,bd,1.78,16.311,14.979,0.064,3.911,0.23,V
2457166.763,2015-05-24.2593582,bd,1.68,16.277,14.983,0.066,3.899,0.237,V
2457166.962,2015-05-24.4586510,bd,1.55,16.572,14.883,0.046,4.272,0.18,V
2457166.964,2015-05-24.4603159,bd,1.55,16.507,14.892,0.049,4.236,0.192,V
2457168.741,2015-05-26.2371075,bc,2.2,14.934,14.579,0.158,5.652,0.816,V
2457168.742,2015-05-26.2386549,bc,1.99,15.419,14.788,0.123,4.663,0.522,V
2457168.75,2015-05-26.2467880,bc,1.79,16.152,15.08,0.082,3.564,0.266,V
